Samba-DC opened ports:

[root@altsrv1 ~]# ss -tulpn
Netid      State       Recv-Q      Send-Q             Local Address:Port              Peer Address:Port      Process                                                                                                                                               
udp        UNCONN      0           0                        0.0.0.0:53                     0.0.0.0:*          users:(("dns[master]",pid=3440,fd=50))                                                                                                               
udp        UNCONN      0           0                192.168.100.251:88                     0.0.0.0:*          users:(("kdc(3",pid=3439,fd=43),("kdc(2",pid=3410,fd=43),("kdc(1",pid=3385,fd=43),("kdc(0",pid=3377,fd=43),("kdc[master]",pid=3357,fd=43))           
udp        UNCONN      0           0                        0.0.0.0:88                     0.0.0.0:*          users:(("kdc(3",pid=3439,fd=40),("kdc(2",pid=3410,fd=40),("kdc(1",pid=3385,fd=40),("kdc(0",pid=3377,fd=40),("kdc[master]",pid=3357,fd=40))           
udp        UNCONN      0           0                        0.0.0.0:111                    0.0.0.0:*          users:(("rpcbind",pid=2623,fd=6))                                                                                                                    
udp        UNCONN      0           0                        0.0.0.0:123                    0.0.0.0:*          users:(("chronyd",pid=2819,fd=7))                                                                                                                    
udp        UNCONN      0           0                192.168.100.251:137                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=29))                                                                                                               
udp        UNCONN      0           0                192.168.100.255:137                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=28))                                                                                                               
udp        UNCONN      0           0                        0.0.0.0:137                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=22))                                                                                                               
udp        UNCONN      0           0                192.168.100.251:138                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=31))                                                                                                               
udp        UNCONN      0           0                192.168.100.255:138                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=30))                                                                                                               
udp        UNCONN      0           0                        0.0.0.0:138                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=26))                                                                                                               
udp        UNCONN      0           0                      127.0.0.1:323                    0.0.0.0:*          users:(("chronyd",pid=2819,fd=5))                                                                                                                    
udp        UNCONN      0           0                192.168.100.251:389                    0.0.0.0:*          users:(("cldap[master]",pid=3352,fd=34))                                                                                                             
udp        UNCONN      0           0                        0.0.0.0:389                    0.0.0.0:*          users:(("cldap[master]",pid=3352,fd=32))                                                                                                             
udp        UNCONN      0           0                192.168.100.251:464                    0.0.0.0:*          users:(("kdc(3",pid=3439,fd=44),("kdc(2",pid=3410,fd=44),("kdc(1",pid=3385,fd=44),("kdc(0",pid=3377,fd=44),("kdc[master]",pid=3357,fd=44))           
udp        UNCONN      0           0                        0.0.0.0:464                    0.0.0.0:*          users:(("kdc(3",pid=3439,fd=42),("kdc(2",pid=3410,fd=42),("kdc(1",pid=3385,fd=42),("kdc(0",pid=3377,fd=42),("kdc[master]",pid=3357,fd=42))           
udp        UNCONN      0           0                           [::]:53                        [::]:*          users:(("dns[master]",pid=3440,fd=48))                                                                                                               
udp        UNCONN      0           0                           [::]:88                        [::]:*          users:(("kdc(3",pid=3439,fd=36),("kdc(2",pid=3410,fd=36),("kdc(1",pid=3385,fd=36),("kdc(0",pid=3377,fd=36),("kdc[master]",pid=3357,fd=36))           
udp        UNCONN      0           0                           [::]:111                       [::]:*          users:(("rpcbind",pid=2623,fd=8))                                                                                                                    
udp        UNCONN      0           0                          [::1]:323                       [::]:*          users:(("chronyd",pid=2819,fd=6))                                                                                                                    
udp        UNCONN      0           0                           [::]:389                       [::]:*          users:(("cldap[master]",pid=3352,fd=22))                                                                                                             
udp        UNCONN      0           0                           [::]:464                       [::]:*          users:(("kdc(3",pid=3439,fd=38),("kdc(2",pid=3410,fd=38),("kdc(1",pid=3385,fd=38),("kdc(0",pid=3377,fd=38),("kdc[master]",pid=3357,fd=38))           
tcp        LISTEN      0           4096                     0.0.0.0:111                    0.0.0.0:*          users:(("rpcbind",pid=2623,fd=7))                                                                                                                    
tcp        LISTEN      0           10                       0.0.0.0:464                    0.0.0.0:*          users:(("kdc(3",pid=3439,fd=41),("kdc(2",pid=3410,fd=41),("kdc(1",pid=3385,fd=41),("kdc(0",pid=3377,fd=41),("kdc[master]",pid=3357,fd=41))           
tcp        LISTEN      0           10                       0.0.0.0:53                     0.0.0.0:*          users:(("dns[master]",pid=3440,fd=49))                                                                                                               
tcp        LISTEN      0           128                      0.0.0.0:22                     0.0.0.0:*          users:(("sshd",pid=3093,fd=3))                                                                                                                       
tcp        LISTEN      0           10                       0.0.0.0:88                     0.0.0.0:*          users:(("kdc(3",pid=3439,fd=39),("kdc(2",pid=3410,fd=39),("kdc(1",pid=3385,fd=39),("kdc(0",pid=3377,fd=39),("kdc[master]",pid=3357,fd=39))           
tcp        LISTEN      0           10                       0.0.0.0:636                    0.0.0.0:*          users:(("ldap(3",pid=3458,fd=36),("ldap(2",pid=3456,fd=36),("ldap(1",pid=3454,fd=36),("ldap(0",pid=3452,fd=36),("ldap[master]",pid=3343,fd=36))      
tcp        LISTEN      0           50                       0.0.0.0:445                    0.0.0.0:*          users:(("smbd",pid=3329,fd=39))                                                                                                                      
tcp        LISTEN      0           10                       0.0.0.0:49152                  0.0.0.0:*          users:(("rpc(3",pid=3379,fd=26),("rpc(2",pid=3369,fd=26),("rpc(1",pid=3360,fd=26),("rpc(0",pid=3349,fd=26),("rpc[master]",pid=3317,fd=26))           
tcp        LISTEN      0           10                       0.0.0.0:49153                  0.0.0.0:*          users:(("rpc(0",pid=3349,fd=14))                                                                                                                     
tcp        LISTEN      0           10                       0.0.0.0:49154                  0.0.0.0:*          users:(("rpc(0",pid=3349,fd=25))                                                                                                                     
tcp        LISTEN      0           10                       0.0.0.0:3268                   0.0.0.0:*          users:(("ldap(3",pid=3458,fd=37),("ldap(2",pid=3456,fd=37),("ldap(1",pid=3454,fd=37),("ldap(0",pid=3452,fd=37),("ldap[master]",pid=3343,fd=37))      
tcp        LISTEN      0           10                       0.0.0.0:3269                   0.0.0.0:*          users:(("ldap(3",pid=3458,fd=38),("ldap(2",pid=3456,fd=38),("ldap(1",pid=3454,fd=38),("ldap(0",pid=3452,fd=38),("ldap[master]",pid=3343,fd=38))      
tcp        LISTEN      0           10                       0.0.0.0:389                    0.0.0.0:*          users:(("ldap(3",pid=3458,fd=35),("ldap(2",pid=3456,fd=35),("ldap(1",pid=3454,fd=35),("ldap(0",pid=3452,fd=35),("ldap[master]",pid=3343,fd=35))      
tcp        LISTEN      0           10                       0.0.0.0:135                    0.0.0.0:*          users:(("rpc(0",pid=3349,fd=33))                                                                                                                     
tcp        LISTEN      0           50                       0.0.0.0:139                    0.0.0.0:*          users:(("smbd",pid=3329,fd=40))                                                                                                                      
tcp        LISTEN      0           4096                        [::]:111                       [::]:*          users:(("rpcbind",pid=2623,fd=9))                                                                                                                    
tcp        LISTEN      0           10                          [::]:464                       [::]:*          users:(("kdc(3",pid=3439,fd=37),("kdc(2",pid=3410,fd=37),("kdc(1",pid=3385,fd=37),("kdc(0",pid=3377,fd=37),("kdc[master]",pid=3357,fd=37))           
tcp        LISTEN      0           100                            *:8080                         *:*          users:(("ahttpd",pid=2796,fd=16))                                                                                                                    
tcp        LISTEN      0           10                          [::]:53                        [::]:*          users:(("dns[master]",pid=3440,fd=46))                                                                                                               
tcp        LISTEN      0           128                         [::]:22                        [::]:*          users:(("sshd",pid=3093,fd=4))                                                                                                                       
tcp        LISTEN      0           4096                           *:631                          *:*          users:(("cupsd",pid=3088,fd=4),("systemd",pid=1,fd=56))                                                                                              
tcp        LISTEN      0           10                          [::]:88                        [::]:*          users:(("kdc(3",pid=3439,fd=34),("kdc(2",pid=3410,fd=34),("kdc(1",pid=3385,fd=34),("kdc(0",pid=3377,fd=34),("kdc[master]",pid=3357,fd=34))           
tcp        LISTEN      0           10                          [::]:636                       [::]:*          users:(("ldap(3",pid=3458,fd=32),("ldap(2",pid=3456,fd=32),("ldap(1",pid=3454,fd=32),("ldap(0",pid=3452,fd=32),("ldap[master]",pid=3343,fd=32))      
tcp        LISTEN      0           50                          [::]:445                       [::]:*          users:(("smbd",pid=3329,fd=37))                                                                                                                      
tcp        LISTEN      0           10                          [::]:49152                     [::]:*          users:(("rpc(3",pid=3379,fd=24),("rpc(2",pid=3369,fd=24),("rpc(1",pid=3360,fd=24),("rpc(0",pid=3349,fd=24),("rpc[master]",pid=3317,fd=24))           
tcp        LISTEN      0           10                          [::]:49153                     [::]:*          users:(("rpc(0",pid=3349,fd=13))                                                                                                                     
tcp        LISTEN      0           10                          [::]:49154                     [::]:*          users:(("rpc(0",pid=3349,fd=19))                                                                                                                     
tcp        LISTEN      0           10                          [::]:3268                      [::]:*          users:(("ldap(3",pid=3458,fd=33),("ldap(2",pid=3456,fd=33),("ldap(1",pid=3454,fd=33),("ldap(0",pid=3452,fd=33),("ldap[master]",pid=3343,fd=33))      
tcp        LISTEN      0           10                          [::]:3269                      [::]:*          users:(("ldap(3",pid=3458,fd=34),("ldap(2",pid=3456,fd=34),("ldap(1",pid=3454,fd=34),("ldap(0",pid=3452,fd=34),("ldap[master]",pid=3343,fd=34))      
tcp        LISTEN      0           10                          [::]:389                       [::]:*          users:(("ldap(3",pid=3458,fd=30),("ldap(2",pid=3456,fd=30),("ldap(1",pid=3454,fd=30),("ldap(0",pid=3452,fd=30),("ldap[master]",pid=3343,fd=30))      
tcp        LISTEN      0           10                          [::]:135                       [::]:*          users:(("rpc(0",pid=3349,fd=32))                                                                                                                     
tcp        LISTEN      0           50                          [::]:139                       [::]:*          users:(("smbd",pid=3329,fd=38))                                                                                                                      
[root@altsrv1 ~]# 

========================================================================================================================

Netid      State       Recv-Q      Send-Q             Local Address:Port              Peer Address:Port      Process                                                                                                                                               
udp        UNCONN      0           0                        0.0.0.0:53                     0.0.0.0:*          users:(("dns[master]",pid=3440,fd=50))                                                                                                               
udp        UNCONN      0           0                192.168.100.251:88                     0.0.0.0:*          users:(("kdc(3",pid=3439,fd=43),("kdc(2",pid=3410,fd=43),("kdc(1",pid=3385,fd=43),("kdc(0",pid=3377,fd=43),("kdc[master]",pid=3357,fd=43))           
udp        UNCONN      0           0                        0.0.0.0:88                     0.0.0.0:*          users:(("kdc(3",pid=3439,fd=40),("kdc(2",pid=3410,fd=40),("kdc(1",pid=3385,fd=40),("kdc(0",pid=3377,fd=40),("kdc[master]",pid=3357,fd=40))           
udp        UNCONN      0           0                        0.0.0.0:111                    0.0.0.0:*          users:(("rpcbind",pid=2623,fd=6))                                                                                                                    
udp        UNCONN      0           0                        0.0.0.0:123                    0.0.0.0:*          users:(("chronyd",pid=2819,fd=7))                                                                                                                    
udp        UNCONN      0           0                192.168.100.251:137                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=29))                                                                                                               
udp        UNCONN      0           0                192.168.100.255:137                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=28))                                                                                                               
udp        UNCONN      0           0                        0.0.0.0:137                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=22))                                                                                                               
udp        UNCONN      0           0                192.168.100.251:138                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=31))                                                                                                               
udp        UNCONN      0           0                192.168.100.255:138                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=30))                                                                                                               
udp        UNCONN      0           0                        0.0.0.0:138                    0.0.0.0:*          users:(("nbt[master]",pid=3324,fd=26))                                                                                                               
udp        UNCONN      0           0                      127.0.0.1:323                    0.0.0.0:*          users:(("chronyd",pid=2819,fd=5))                                                                                                                    
udp        UNCONN      0           0                192.168.100.251:389                    0.0.0.0:*          users:(("cldap[master]",pid=3352,fd=34))                                                                                                             
udp        UNCONN      0           0                        0.0.0.0:389                    0.0.0.0:*          users:(("cldap[master]",pid=3352,fd=32))                                                                                                             
udp        UNCONN      0           0                192.168.100.251:464                    0.0.0.0:*          users:(("kdc(3",pid=3439,fd=44),("kdc(2",pid=3410,fd=44),("kdc(1",pid=3385,fd=44),("kdc(0",pid=3377,fd=44),("kdc[master]",pid=3357,fd=44))           
udp        UNCONN      0           0                        0.0.0.0:464                    0.0.0.0:*          users:(("kdc(3",pid=3439,fd=42),("kdc(2",pid=3410,fd=42),("kdc(1",pid=3385,fd=42),("kdc(0",pid=3377,fd=42),("kdc[master]",pid=3357,fd=42))           
udp        UNCONN      0           0                           [::]:53                        [::]:*          users:(("dns[master]",pid=3440,fd=48))                                                                                                               
udp        UNCONN      0           0                           [::]:88                        [::]:*          users:(("kdc(3",pid=3439,fd=36),("kdc(2",pid=3410,fd=36),("kdc(1",pid=3385,fd=36),("kdc(0",pid=3377,fd=36),("kdc[master]",pid=3357,fd=36))           
udp        UNCONN      0           0                           [::]:111                       [::]:*          users:(("rpcbind",pid=2623,fd=8))                                                                                                                    
udp        UNCONN      0           0                          [::1]:323                       [::]:*          users:(("chronyd",pid=2819,fd=6))                                                                                                                    
udp        UNCONN      0           0                           [::]:389                       [::]:*          users:(("cldap[master]",pid=3352,fd=22))                                                                                                             
udp        UNCONN      0           0                           [::]:464                       [::]:*          users:(("kdc(3",pid=3439,fd=38),("kdc(2",pid=3410,fd=38),("kdc(1",pid=3385,fd=38),("kdc(0",pid=3377,fd=38),("kdc[master]",pid=3357,fd=38))           
tcp        LISTEN      0           4096                     0.0.0.0:111                    0.0.0.0:*          users:(("rpcbind",pid=2623,fd=7))                                                                                                                    
tcp        LISTEN      0           10                       0.0.0.0:464                    0.0.0.0:*          users:(("kdc(3",pid=3439,fd=41),("kdc(2",pid=3410,fd=41),("kdc(1",pid=3385,fd=41),("kdc(0",pid=3377,fd=41),("kdc[master]",pid=3357,fd=41))           
tcp        LISTEN      0           10                       0.0.0.0:53                     0.0.0.0:*          users:(("dns[master]",pid=3440,fd=49))                                                                                                               
tcp        LISTEN      0           128                      0.0.0.0:22                     0.0.0.0:*          users:(("sshd",pid=3093,fd=3))                                                                                                                       
tcp        LISTEN      0           10                       0.0.0.0:88                     0.0.0.0:*          users:(("kdc(3",pid=3439,fd=39),("kdc(2",pid=3410,fd=39),("kdc(1",pid=3385,fd=39),("kdc(0",pid=3377,fd=39),("kdc[master]",pid=3357,fd=39))           
tcp        LISTEN      0           10                       0.0.0.0:636                    0.0.0.0:*          users:(("ldap(3",pid=3458,fd=36),("ldap(2",pid=3456,fd=36),("ldap(1",pid=3454,fd=36),("ldap(0",pid=3452,fd=36),("ldap[master]",pid=3343,fd=36))      
tcp        LISTEN      0           50                       0.0.0.0:445                    0.0.0.0:*          users:(("smbd",pid=3329,fd=39))                                                                                                                      
tcp        LISTEN      0           10                       0.0.0.0:49152                  0.0.0.0:*          users:(("rpc(3",pid=3379,fd=26),("rpc(2",pid=3369,fd=26),("rpc(1",pid=3360,fd=26),("rpc(0",pid=3349,fd=26),("rpc[master]",pid=3317,fd=26))           
tcp        LISTEN      0           10                       0.0.0.0:49153                  0.0.0.0:*          users:(("rpc(0",pid=3349,fd=14))                                                                                                                     
tcp        LISTEN      0           10                       0.0.0.0:49154                  0.0.0.0:*          users:(("rpc(0",pid=3349,fd=25))                                                                                                                     
tcp        LISTEN      0           10                       0.0.0.0:3268                   0.0.0.0:*          users:(("ldap(3",pid=3458,fd=37),("ldap(2",pid=3456,fd=37),("ldap(1",pid=3454,fd=37),("ldap(0",pid=3452,fd=37),("ldap[master]",pid=3343,fd=37))      
tcp        LISTEN      0           10                       0.0.0.0:3269                   0.0.0.0:*          users:(("ldap(3",pid=3458,fd=38),("ldap(2",pid=3456,fd=38),("ldap(1",pid=3454,fd=38),("ldap(0",pid=3452,fd=38),("ldap[master]",pid=3343,fd=38))      
tcp        LISTEN      0           10                       0.0.0.0:389                    0.0.0.0:*          users:(("ldap(3",pid=3458,fd=35),("ldap(2",pid=3456,fd=35),("ldap(1",pid=3454,fd=35),("ldap(0",pid=3452,fd=35),("ldap[master]",pid=3343,fd=35))      
tcp        LISTEN      0           10                       0.0.0.0:135                    0.0.0.0:*          users:(("rpc(0",pid=3349,fd=33))                                                                                                                     
tcp        LISTEN      0           50                       0.0.0.0:139                    0.0.0.0:*          users:(("smbd",pid=3329,fd=40))                                                                                                                      
tcp        LISTEN      0           4096                        [::]:111                       [::]:*          users:(("rpcbind",pid=2623,fd=9))                                                                                                                    
tcp        LISTEN      0           10                          [::]:464                       [::]:*          users:(("kdc(3",pid=3439,fd=37),("kdc(2",pid=3410,fd=37),("kdc(1",pid=3385,fd=37),("kdc(0",pid=3377,fd=37),("kdc[master]",pid=3357,fd=37))           
tcp        LISTEN      0           100                            *:8080                         *:*          users:(("ahttpd",pid=2796,fd=16))                                                                                                                    
tcp        LISTEN      0           10                          [::]:53                        [::]:*          users:(("dns[master]",pid=3440,fd=46))                                                                                                               
tcp        LISTEN      0           128                         [::]:22                        [::]:*          users:(("sshd",pid=3093,fd=4))                                                                                                                       
tcp        LISTEN      0           4096                           *:631                          *:*          users:(("cupsd",pid=3088,fd=4),("systemd",pid=1,fd=56))                                                                                              
tcp        LISTEN      0           10                          [::]:88                        [::]:*          users:(("kdc(3",pid=3439,fd=34),("kdc(2",pid=3410,fd=34),("kdc(1",pid=3385,fd=34),("kdc(0",pid=3377,fd=34),("kdc[master]",pid=3357,fd=34))           
tcp        LISTEN      0           10                          [::]:636                       [::]:*          users:(("ldap(3",pid=3458,fd=32),("ldap(2",pid=3456,fd=32),("ldap(1",pid=3454,fd=32),("ldap(0",pid=3452,fd=32),("ldap[master]",pid=3343,fd=32))      
tcp        LISTEN      0           50                          [::]:445                       [::]:*          users:(("smbd",pid=3329,fd=37))                                                                                                                      
tcp        LISTEN      0           10                          [::]:49152                     [::]:*          users:(("rpc(3",pid=3379,fd=24),("rpc(2",pid=3369,fd=24),("rpc(1",pid=3360,fd=24),("rpc(0",pid=3349,fd=24),("rpc[master]",pid=3317,fd=24))           
tcp        LISTEN      0           10                          [::]:49153                     [::]:*          users:(("rpc(0",pid=3349,fd=13))                                                                                                                     
tcp        LISTEN      0           10                          [::]:49154                     [::]:*          users:(("rpc(0",pid=3349,fd=19))                                                                                                                     
